id,city,latitude,longitude,country,avg_temp_7j(°C),avg_humidity_7j(%),total_rain_7j(mm),avg_pop_7j(%),beauty_score
29,Carcassonne,43.2130358,2.3491069,France,29.64,33.57,0.0,0.0,88.23
22,Aix en Provence,43.5298424,5.4474738,France,29.69,34.0,0.0,0.86,87.85
31,Toulouse,43.6044638,1.4442433,France,26.83,43.14,0.0,0.0,86.52
30,Ariege,42.9455368,1.4065544,France,22.27,48.57,1.75,19.57,84.68
23,Avignon,43.9492493,4.8059012,France,30.46,37.43,0.18,5.14,83.68
25,Nimes,43.8374249,4.3600687,France,31.23,31.71,1.04,17.29,83.35
28,Collioure,42.52505,3.0831554,France,28.38,44.14,0.0,4.86,83.28
32,Montauban,44.0175835,1.3549991,France,25.44,51.0,0.33,2.86,82.5
24,Uzes,44.0121279,4.4196718,France,30.25,35.86,1.19,20.43,81.71
20,Cassis,43.2140359,5.5396318,France,23.51,60.57,0.0,4.29,80.44
21,Marseille,43.2963986,5.3777888,France,24.67,57.71,0.0,0.0,80.41
27,Saintes Maries de la mer,43.4515922,4.4277202,France,24.9,58.57,0.3,6.43,78.45
26,Aigues Mortes,43.5661521,4.19154,France,26.56,49.57,1.3,15.43,78.35
19,Bormes les Mimosas,43.1506968,6.3419285,France,24.53,60.0,0.87,18.29,76.22
34,Bayonne,43.4945144,-1.4736657,France,23.22,60.86,1.53,14.0,75.63
14,Dijon,47.3215806,5.0414701,France,23.88,56.86,2.16,21.0,75.1
33,Biarritz,43.4711437,-1.5527266,France,22.32,64.57,1.56,13.86,74.56
35,La Rochelle,46.159732,-1.1515951,France,21.8,65.71,3.45,14.29,68.36
17,Lyon,45.7578137,4.8320114,France,26.37,50.0,6.9,28.0,59.72
6,Paris,48.8534951,2.3483915,France,26.7,39.43,10.78,40.0,55.88
18,Gorges du Verdon,43.7496562,6.3285616,France,25.28,43.0,17.94,41.57,55.87
10,Chateau du Haut Koenigsbourg,48.249382,7.3439412,France,22.55,50.57,10.45,31.71,55.36
12,Eguisheim,48.0447968,7.3079618,France,24.82,49.14,9.24,34.43,55.07
11,Colmar,48.0777517,7.3579641,France,25.07,50.0,9.91,34.57,51.85
8,Lille,50.6365654,3.0635282,France,22.95,56.0,15.66,54.29,51.08
9,Strasbourg,48.584614,7.7507127,France,24.89,51.43,18.84,44.86,50.9
13,Besancon,47.2380222,6.0243622,France,24.56,53.0,20.51,28.57,50.4
1,Mont Saint Michel,48.6359541,-1.51146,France,21.86,61.86,17.19,53.14,49.0
3,Bayeux,49.2764624,-0.7024738,France,22.09,61.29,27.02,76.0,48.99
2,St Malo,48.649518,-2.0260409,France,20.22,66.0,12.66,46.86,48.97
5,Rouen,49.4404591,1.0939658,France,23.8,57.14,10.33,47.71,48.9
15,Annecy,45.8992348,6.1288847,France,25.03,55.43,21.3,34.86,48.0
7,Amiens,49.8941708,2.2956951,France,22.77,63.71,15.83,57.29,46.24
16,Grenoble,45.1875602,5.7357819,France,27.04,53.14,16.15,36.86,46.17
4,Le Havre,49.4938975,0.1079732,France,19.24,72.0,20.77,68.57,44.07
