id,city,hotel_name,note,description,lien,latitude,longitude
1,Mont Saint Michel,La Villa du Manoir,10.0,"Situé à Beauvoir, l’hébergement La Villa du Manoir met à votre disposition une connexion Wi-Fi gratuite et offre une vue sur le jardin.",https://www.booking.com/hotel/fr/la-villa-du-manoir.fr.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC_Jbh0AbAAgHSAiRjYWU2MGNmOC1kODg2LTRkOTYtOTc2Ni1hNGFjMWMwZDIxODbYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=69&sr_order=popularity&srpvid=9aec62fe89d7028f&srepoch=1779977090&from=searchresults,48.6359541,-1.51146
2,Mont Saint Michel,Les mouettes,9.9,Hébergement géré par un particulier,https://www.booking.com/hotel/fr/les-mouettes-huisnes-sur-mer.fr.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC_Jbh0AbAAgHSAiRjYWU2MGNmOC1kODg2LTRkOTYtOTc2Ni1hNGFjMWMwZDIxODbYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=49&sr_order=popularity&srpvid=9aec62fe89d7028f&srepoch=1779977088&from=searchresults,48.6354219,-1.510084
3,Mont Saint Michel,le coin des hirondelles,9.8,Hébergement géré par un particulier,https://www.booking.com/hotel/fr/le-coin-des-hirondelles.fr.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC_Jbh0AbAAgHSAiRjYWU2MGNmOC1kODg2LTRkOTYtOTc2Ni1hNGFjMWMwZDIxODbYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=65&sr_order=popularity&srpvid=9aec62fe89d7028f&srepoch=1779977090&from=searchresults,48.6359541,-1.51146
4,St Malo,Appartement de charme,9.8,Hébergement géré par un particulier,https://www.booking.com/hotel/fr/appartement-de-charme-saint-malo1.fr.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSA1YBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRl-HQBsACAdICJDc2MTEzOTllLWU0NWItNDBlYy04YzkzLTUzMTQ3YjU3ZjlkYtgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=51&sr_order=popularity&srpvid=ecee6308bd3f0134&srepoch=1779977111&from=searchresults,48.649518,-2.0260409
5,St Malo,Superbe Apt Saint-Malo With View,9.8,Hébergement géré par un particulier,https://www.booking.com/hotel/fr/superbe-apt-saint-malo-with-view.fr.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSA1YBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRl-HQBsACAdICJDc2MTEzOTllLWU0NWItNDBlYy04YzkzLTUzMTQ3YjU3ZjlkYtgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=62&sr_order=popularity&srpvid=ecee6308bd3f0134&srepoch=1779977111&from=searchresults,48.649518,-2.0260409
6,St Malo,Le Pilo,9.8,"Offrant une vue sur la ville et doté d’une connexion Wi-Fi gratuite, l’hébergement Le Pilo se situe au cœur de Saint-Malo, à respectivement 300 mètres et 400 mètres de ces lieux d’intérêt : Plage de...",https://www.booking.com/hotel/fr/le-pilori.fr.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zdCBtYWxvSA1YBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKRl-HQBsACAdICJDc2MTEzOTllLWU0NWItNDBlYy04YzkzLTUzMTQ3YjU3ZjlkYtgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=39&sr_order=popularity&srpvid=ecee6308bd3f0134&srepoch=1779977109&from=searchresults,48.649518,-2.0260409
7,Bayeux,Le Chat Qui Veille,10.0,"L’hébergement Le Chat Qui Veille vous accueille à Bayeux, à seulement 1,1 km de ce lieu d’intérêt : Cathédrale Notre-Dame de Bayeux.",https://www.booking.com/hotel/fr/gite-6-47-9-personnes-bayeux.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AqeX4dAGwAIB0gIkYzcyNjFkYmUtMDJmZi00MWFiLTg4NmUtNmZjZTgyY2Q4OTIx2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=73&sr_order=popularity&srpvid=884d63139cee0859&srepoch=1779977133&from=searchresults,49.2764624,-0.7024738
8,Bayeux,Historic 18th-Century Mansion - 3 BR - Bayeux - Garden & Museums Nearby,9.9,Hébergement géré par un particulier,https://www.booking.com/hotel/fr/bayeux-normandy-private-mansion-in-the-city.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AqeX4dAGwAIB0gIkYzcyNjFkYmUtMDJmZi00MWFiLTg4NmUtNmZjZTgyY2Q4OTIx2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=884d63139cee0859&srepoch=1779977133&from=searchresults,49.2764624,-0.7024738
9,Bayeux,"Hôtel particulier ""le clos de la croix""",9.8,"Situé à Bayeux, l’établissement Hôtel particulier ""le clos de la croix"" possède une connexion Wi-Fi gratuite, un jardin, un salon commun et une terrasse.",https://www.booking.com/hotel/fr/particulier-quot-le-clos-de-la-croix-quot.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AqeX4dAGwAIB0gIkYzcyNjFkYmUtMDJmZi00MWFiLTg4NmUtNmZjZTgyY2Q4OTIx2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=44&sr_order=popularity&srpvid=884d63139cee0859&srepoch=1779977131&from=searchresults,49.2764624,-0.7024738
10,Le Havre,Vivez au coeur Historique - St François - Grand appartement confortable,9.5,Hébergement géré par un particulier,https://www.booking.com/hotel/fr/nouveau-vivez-au-coeur-historique-st-francois-le-havre.fr.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9sZSBoYXZyZUgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCvZfh0AbAAgHSAiQ3N2YwMmYyOC0zMDhlLTQyY2EtODZlYy00Y2E4NDY1MjQxOWTYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=45&sr_order=popularity&srpvid=17e2631eff5e097e&srepoch=1779977153&from=searchresults,49.4938975,0.1079732
